stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 21 - Oblique Projection\Lab 3 - Draw Sphere\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.28387] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28389] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28391] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28393] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28395] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28397] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28398] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28400] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28402] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28404] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28405] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28407] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28409] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28411] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28413] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28415] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28416] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28418] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28420] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28422] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28423] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.28425] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.28427] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28429] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28430] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28432] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28433] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28435] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28437] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28439] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.28440] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.28442] Score is : 769
