stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening C:\Users\SciCompStudent\Desktop\SciComp 201\Session 17 - Polar Coordinates, Parametric Equations\Lab 3 - Parametric Equations\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.02224] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02226] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02228] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02230] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02232] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02234] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02236] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02238] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02240] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02243] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02245] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02247] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02249] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02251] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02253] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02255] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02257] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02259] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02261] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02263] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02265] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.02267] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.02269] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02271] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02273] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02276] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02278] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02280] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02282] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02284] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02286] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02288] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02289] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02292] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.02293] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.02296] Score is : 769
